Date,AAPL,MSFT,META,AMZN,TSLA,JPM,XOM,NKE,JNJ,^GSPC
2021-05-24,124.005126953125,241.74453735351562,322.3781433105469,162.24949645996094,202.14666748046875,144.86587524414062,50.2690315246582,125.09452056884766,149.8188934326172,4197.0498046875
2021-05-25,123.80998992919922,242.65065002441406,325.5162048339844,162.95249938964844,201.56333923339844,143.3688507080078,49.13058090209961,125.33709716796875,149.406005859375,4188.1298828125
2021-05-26,123.76119995117188,242.428955078125,325.38702392578125,163.25799560546875,206.3766632080078,143.35118103027344,49.704017639160156,127.73526763916016,148.51878356933594,4195.990234375
2021-05-27,122.22943115234375,240.32748413085938,330.4417724609375,161.5054931640625,210.28334045410156,145.58343505859375,49.383567810058594,127.42729187011719,148.29037475585938,4200.8798828125
2021-05-28,121.57573699951172,240.68414306640625,326.4496765136719,161.15350341796875,208.4066619873047,145.48597717285156,49.22334671020508,127.59093475341797,148.67689514160156,4204.10986328125
2021-06-01,121.25376892089844,238.4862823486328,326.84686279296875,160.9324951171875,207.96665954589844,147.08926391601562,50.985843658447266,125.76765441894531,145.4090576171875,4202.0400390625
2021-06-02,122.01477813720703,238.38990783691406,326.86669921875,161.69949340820312,201.7066650390625,147.09815979003906,51.3906135559082,125.44977569580078,145.99761962890625,4208.1201171875
2021-06-03,120.53178405761719,236.85719299316406,323.7783203125,159.35049438476562,190.94667053222656,147.19561767578125,51.59300994873047,125.44977569580078,145.85708618164062,4192.85009765625
2021-06-04,122.8245849609375,241.75418090820312,328.05841064453125,160.31100463867188,199.68333435058594,147.4347381591797,51.82070541381836,125.04769897460938,145.79559326171875,4229.89013671875
2021-06-07,122.83433532714844,244.66534423828125,334.2452087402344,159.90049743652344,201.7100067138672,146.7438507080078,51.48337936401367,125.24402618408203,144.802978515625,4226.52001953125
2021-06-08,123.65386962890625,243.47003173828125,331.3652648925781,163.20550537109375,201.19667053222656,146.15919494628906,52.39414596557617,124.68305969238281,143.52923583984375,4227.259765625
2021-06-09,124.03437042236328,244.45327758789062,327.9591064453125,164.0574951171875,199.5933380126953,144.33444213867188,52.832672119140625,123.27120971679688,145.46176147460938,4219.5498046875
2021-06-10,123.03922271728516,247.97177124023438,330.1537780761719,167.4824981689453,203.3733367919922,142.0844268798828,52.916988372802734,122.46709442138672,146.7706298828125,4239.18017578125
